Time [s],Event
3,3481340,Read 0x04 from 0x50. +ACK
3,3482660,Read 0x01 from 0x50. +ACK
3,3483940,Read 0x00 from 0x50. +ACK
3,3485220,Read 0x3C from 0x50. +ACK
3,3486790,Read 0x00 from 0x50. +No ACK
3,3487998,Stop
3,3489503,Start
3,3489920,Setup write to 0x50. +ACK
3,3490640,Wrote 0x01 to 0x50. +ACK
3,3491360,Wrote 0x02 to 0x50. +ACK
3,3492083,Wrote 0x08 to 0x50. +ACK
3,3492803,Wrote 0x0B to 0x50. +ACK
3,3493460,Stop
3,3524293,Start
3,3524710,Setup write to 0x50. +ACK
3,3525890,Wrote 0x01 to 0x50. +ACK
3,3526588,Start
3,3526960,Setup read from 0x50. +ACK
3,3527680,Read 0x04 from 0x50. +ACK
3,3529000,Read 0x08 from 0x50. +ACK
3,3530280,Read 0x21 from 0x50. +ACK
3,3531560,Read 0x00 from 0x50. +ACK
3,3532843,Read 0x00 from 0x50. +No ACK
3,3534050,Stop
3,3534755,Start
3,3535173,Setup write to 0x50. +ACK
3,3536263,Wrote 0x01 to 0x50. +ACK
3,3536983,Wrote 0x02 to 0x50. +ACK
3,3537703,Wrote 0x08 to 0x50. +ACK
3,3538423,Wrote 0x0C to 0x50. +ACK
3,3539080,Stop
3,3569913,Start
3,3570330,Setup write to 0x50. +ACK
3,3571050,Wrote 0x01 to 0x50. +ACK
3,3571748,Start
3,3572120,Setup read from 0x50. +ACK
3,3572840,Read 0x04 from 0x50. +ACK
3,3574163,Read 0x08 from 0x50. +ACK
3,3575903,Read 0x21 from 0x50. +ACK
3,3577183,Read 0x00 from 0x50. +ACK
3,3578463,Read 0x00 from 0x50. +No ACK
3,3579670,Stop
3,3580375,Start
3,3580793,Setup write to 0x50. +ACK
3,3581513,Wrote 0x01 to 0x50. +ACK
3,3582233,Wrote 0x02 to 0x50. +ACK
3,3582953,Wrote 0x08 to 0x50. +ACK
3,3583673,Wrote 0x0F to 0x50. +ACK
3,3584333,Stop
3,3615163,Start
3,3616043,Setup write to 0x50. +ACK
3,3616763,Wrote 0x01 to 0x50. +ACK
3,3617460,Start
3,3617833,Setup read from 0x50. +ACK
3,3618553,Read 0x04 from 0x50. +ACK
3,3619873,Read 0x08 from 0x50. +ACK
3,3621153,Read 0x21 from 0x50. +ACK
3,3622433,Read 0xE0 from 0x50. +ACK
3,3623713,Read 0xDE from 0x50. +No ACK
3,3624920,Stop
3,3626778,Start
3,3627195,Setup write to 0x50. +ACK
3,3627915,Wrote 0x00 to 0x50. +ACK
3,3628635,Wrote 0x00 to 0x50. +ACK
3,3629293,Stop
3,5858128,Start
3,5858545,Setup write to 0x50. +ACK
3,5859265,Wrote 0x00 to 0x50. +ACK
3,5859988,Wrote 0x00 to 0x50. +ACK
3,5860645,Stop
3,5861170,Start
3,5861588,Setup write to 0x50. +ACK
3,5862308,Wrote 0x00 to 0x50. +ACK
3,5863028,Wrote 0x10 to 0x50. +ACK
3,5863685,Stop
3,5874363,Start
3,5874780,Setup write to 0x50. +ACK
3,5875500,Wrote 0x01 to 0x50. +ACK
3,5876680,Wrote 0x02 to 0x50. +ACK
3,5877400,Wrote 0x06 to 0x50. +ACK
3,5878120,Wrote 0x00 to 0x50. +ACK
3,5878778,Stop
3,5899498,Start
3,5899915,Setup write to 0x50. +ACK
3,5900638,Wrote 0x01 to 0x50. +ACK
3,5901333,Start
