ABS time (ms)	 value	 Arm On	 Arm Down	 Bowl On	 Bowl CW	 Dosage pump	 Drain pump	 Water valve	 Blow dryer	 duration (ms)
1218,310665	0x3-	0	0	1	1	0	1	x	0	25,11088
1243,421545	0x3-	0	0	1	1	0	1	x	1	0,06365
1243,485195	0x2-	0	0	1	0	0	1	x	1	0,005295
1243,49049	0xf-	1	1	1	1	1	1	x	1	0,000005
1243,490495	0x2-	0	0	1	0	0	1	x	1	35,303295
1278,79379	0x3-	0	0	1	1	0	1	x	1	0,00414
1278,79793	0xf-	1	1	1	1	1	1	x	1	0,000005
1278,797935	0x3-	0	0	1	1	0	1	x	1	55,50934
1334,307275	0x2-	0	0	1	0	0	1	x	1	35,2767
1369,583975	0x2-	0	0	1	0	0	0	x	1	1,732315
1371,31629	0x3-	0	0	1	1	0	0	x	1	55,513575
1426,829865	0x2-	0	0	1	0	0	0	x	1	0,005425
1426,83529	0xf-	1	1	1	1	1	1	x	1	0,000005
1426,835295	0x2-	0	0	1	0	0	0	x	1	0,00267
1426,837965	0x2-	0	0	1	0	1	1	x	1	0,000005
1426,83797	0x2-	0	0	1	0	0	0	x	1	35,300395
1462,138365	0x3-	0	0	1	1	0	0	x	1	55,513505
1517,65187	0x2-	0	0	1	0	0	0	x	1	35,308605
1552,960475	0x3-	0	0	1	1	0	0	x	1	45,41107
1598,371545	0x2-	0	0	1	0	0	0	x	1	35,40374
1633,775285	0xa-	1	0	1	0	0	0	x	1	9,980015
1643,7553	0xa-	1	0	1	0	1	0	x	1	0,15899
1643,91429	0x8-	1	0	0	0	1	0	x	1	0,063595
1643,977885	0x0-	0	0	0	0	1	0	x	1	2,37796
1646,355845	0x0-	0	0	0	0	0	0	x	1	0,15898
1646,514825	0x2-	0	0	1	0	0	0	x	1	5,23312
1651,747945	0x6-	0	1	1	0	0	0	x	1	0,03175
1651,779695	0xe-	1	1	1	0	0	0	x	1	10,270835
1662,05053	0xa-	1	0	1	0	0	0	x	1	0,031745
1662,082275	0x2-	0	0	1	0	0	0	x	1	35,213245
1697,29552	0x3-	0	0	1	1	0	0	x	1	45,41104
1742,70656	0x2-	0	0	1	0	0	0	x	1	35,3085
1778,01506	0x3-	0	0	1	1	0	0	x	1	45,4111
1823,42616	0x2-	0	0	1	0	0	0	x	1	35,403755
1858,829915	0xa-	1	0	1	0	0	0	x	1	10,38009
1869,210005	0xa-	1	0	1	0	1	0	x	1	0,158995
1869,369	0x8-	1	0	0	0	1	0	x	1	0,063595
1869,432595	0x0-	0	0	0	0	1	0	x	1	2,377945
1871,81054	0x0-	0	0	0	0	0	0	x	1	0,158985
1871,969525	0x2-	0	0	1	0	0	0	x	1	4,232905
1876,20243	0x6-	0	1	1	0	0	0	x	1	0,03175
1876,23418	0xe-	1	1	1	0	0	0	x	1	10,771015
1887,005195	0xa-	1	0	1	0	0	0	x	1	0,00646
1887,011655	0xa-	1	0	1	0	0	1	x	1	0,000005
1887,01166	0xa-	1	0	1	0	0	0	x	1	0,02528
1887,03694	0x2-	0	0	1	0	0	0	x	1	35,21312
1922,25006	0x3-	0	0	1	1	0	0	x	1	35,3086
1957,55866	0x2-	0	0	1	0	0	0	x	1	35,3086
1992,86726	0x3-	0	0	1	1	0	0	x	1	35,308495
2028,175755	0x2-	0	0	1	0	0	0	x	1	0,00537
2028,181125	0x2-	0	0	1	0	1	1	x	1	0,000005
2028,18113	0x2-	0	0	1	0	0	0	x	1	35,398425
2063,579555	0xa-	1	0	1	0	0	0	x	1	11,50285
2075,082405	0x2-	0	0	1	0	0	0	x	1	2,16883
2077,251235	0x6-	0	1	1	0	0	0	x	1	0,03175
2077,282985	0xe-	1	1	1	0	0	0	x	1	11,67118
2088,954165	0xa-	1	0	1	0	0	0	x	1	0,031745
2088,98591	0x2-	0	0	1	0	0	0	x	1	45,31567
2134,30158	0x3-	0	0	1	1	0	0	x	1	35,308535
2169,610115	0x2-	0	0	1	0	0	0	x	1	45,411
2215,021115	0x3-	0	0	1	1	0	0	x	1	35,30862
2250,329735	0x2-	0	0	1	0	0	0	x	1	0,00547
2250,335205	0xf-	1	1	1	1	1	1	x	1	0,000005
2250,33521	0x2-	0	0	1	0	0	0	x	1	45,40557
2295,74078	0x3-	0	0	1	1	0	0	x	1	35,308475
2331,049255	0x2-	0	0	1	0	0	0	x	1	45,41101
2376,460265	0x3-	0	0	1	1	0	0	x	1	35,403915
2411,86418	0xb-	1	0	1	1	0	0	x	1	0,30003
2412,16421	0x3-	0	0	1	1	0	0	x	1	12,20299
2424,3672	0xb-	1	0	1	1	0	0	x	1	0,300085
2424,667285	0x3-	0	0	1	1	0	0	x	1	12,202965
2436,87025	0xb-	1	0	1	1	0	0	x	1	0,300035
2437,170285	0x3-	0	0	1	1	0	0	x	1	10,202505
2447,37279	0xb-	1	0	1	1	0	0	x	1	0,006605
2447,379395	0xb-	1	0	1	1	1	1	x	1	0,000005
2447,3794	0xb-	1	0	1	1	0	0	x	1	0,00003
2447,37943	0xb-	1	0	1	1	1	1	x	1	0,000005
2447,379435	0xb-	1	0	1	1	0	0	x	1	0,293435
2447,67287	0x3-	0	0	1	1	0	0	x	1	10,202485
2457,875355	0xb-	1	0	1	1	0	0	x	1	9,17047
2467,045825	0xf-	1	1	1	1	0	0	x	1	6,474215
2473,52004	0xf-	1	1	1	1	0	0	x	0	0,12725
