Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
1232,123000	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,123020	0x34	Stop	CW	Off	On	Off	Off	0,100070
1232,223090	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,223110	0x34	Stop	CW	Off	On	Off	Off	0,099960
1232,323070	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,323090	0x34	Stop	CW	Off	On	Off	Off	0,100080
1232,423170	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,423190	0x34	Stop	CW	Off	On	Off	Off	0,099965
1232,523155	0x36	Stop	CW	Off	On	On	Off	0,000015
1232,523170	0x34	Stop	CW	Off	On	Off	Off	0,099955
1232,623125	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,623145	0x34	Stop	CW	Off	On	Off	Off	0,100080
1232,723225	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,723245	0x34	Stop	CW	Off	On	Off	Off	0,099965
1232,823210	0x36	Stop	CW	Off	On	On	Off	0,000015
1232,823225	0x34	Stop	CW	Off	On	Off	Off	0,099965
1232,923190	0x36	Stop	CW	Off	On	On	Off	0,000020
1232,923210	0x34	Stop	CW	Off	On	Off	Off	0,100085
1233,023295	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,023315	0x34	Stop	CW	Off	On	Off	Off	0,099995
1233,123310	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,123330	0x34	Stop	CW	Off	On	Off	Off	0,099955
1233,223285	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,223305	0x34	Stop	CW	Off	On	Off	Off	0,100080
1233,323385	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,323405	0x34	Stop	CW	Off	On	Off	Off	0,099950
1233,423355	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,423375	0x34	Stop	CW	Off	On	Off	Off	0,099965
1233,523340	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,523360	0x34	Stop	CW	Off	On	Off	Off	0,100075
1233,623435	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,623455	0x34	Stop	CW	Off	On	Off	Off	0,099960
1233,723415	0x36	Stop	CW	Off	On	On	Off	0,000015
1233,723430	0x34	Stop	CW	Off	On	Off	Off	0,100085
1233,823515	0x36	Stop	CW	Off	On	On	Off	0,000015
1233,823530	0x34	Stop	CW	Off	On	Off	Off	0,099965
1233,923495	0x36	Stop	CW	Off	On	On	Off	0,000020
1233,923515	0x34	Stop	CW	Off	On	Off	Off	0,099970
1234,023485	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,023505	0x34	Stop	CW	Off	On	Off	Off	0,099975
1234,123480	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,123500	0x34	Stop	CW	Off	On	Off	Off	0,100075
1234,223575	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,223595	0x34	Stop	CW	Off	On	Off	Off	0,099960
1234,323555	0x36	Stop	CW	Off	On	On	Off	0,000015
1234,323570	0x34	Stop	CW	Off	On	Off	Off	0,100080
1234,423650	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,423670	0x34	Stop	CW	Off	On	Off	Off	0,099960
1234,523630	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,523650	0x34	Stop	CW	Off	On	Off	Off	0,099955
1234,623605	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,623625	0x34	Stop	CW	Off	On	Off	Off	0,100075
1234,723700	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,723720	0x34	Stop	CW	Off	On	Off	Off	0,099950
1234,823670	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,823690	0x34	Stop	CW	Off	On	Off	Off	0,100085
1234,923775	0x36	Stop	CW	Off	On	On	Off	0,000020
1234,923795	0x34	Stop	CW	Off	On	Off	Off	0,099970
1235,023765	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,023785	0x34	Stop	CW	Off	On	Off	Off	0,099985
1235,123770	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,123790	0x34	Stop	CW	Off	On	Off	Off	0,099955
1235,223745	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,223765	0x34	Stop	CW	Off	On	Off	Off	0,100090
1235,323855	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,323875	0x34	Stop	CW	Off	On	Off	Off	0,099955
1235,423830	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,423850	0x34	Stop	CW	Off	On	Off	Off	0,100085
1235,523935	0x36	Stop	CW	Off	On	On	Off	0,000015
1235,523950	0x34	Stop	CW	Off	On	Off	Off	0,099970
1235,623920	0x36	Stop	CW	Off	On	On	Off	0,000015
1235,623935	0x34	Stop	CW	Off	On	Off	Off	0,099960
1235,723895	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,723915	0x34	Stop	CW	Off	On	Off	Off	0,100075
1235,823990	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,824010	0x34	Stop	CW	Off	On	Off	Off	0,099960
1235,923970	0x36	Stop	CW	Off	On	On	Off	0,000020
1235,923990	0x34	Stop	CW	Off	On	Off	Off	0,099975
1236,023965	0x36	Stop	CW	Off	On	On	Off	0,000015
1236,023980	0x34	Stop	CW	Off	On	Off	Off	0,099990
1236,123970	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,123990	0x34	Stop	CW	Off	On	Off	Off	0,100070
1236,224060	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,224080	0x34	Stop	CW	Off	On	Off	Off	0,099965
1236,324045	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,324065	0x34	Stop	CW	Off	On	Off	Off	0,100075
1236,424140	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,424160	0x34	Stop	CW	Off	On	Off	Off	0,099960
1236,524120	0x36	Stop	CW	Off	On	On	Off	0,000015
1236,524135	0x34	Stop	CW	Off	On	Off	Off	0,099950
1236,624085	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,624105	0x34	Stop	CW	Off	On	Off	Off	0,100090
1236,724195	0x36	Stop	CW	Off	On	On	Off	0,000015
1236,724210	0x34	Stop	CW	Off	On	Off	Off	0,099955
1236,824165	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,824185	0x34	Stop	CW	Off	On	Off	Off	0,100080
1236,924265	0x36	Stop	CW	Off	On	On	Off	0,000020
1236,924285	0x34	Stop	CW	Off	On	Off	Off	0,099970
1237,024255	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,024275	0x34	Stop	CW	Off	On	Off	Off	0,099990
1237,124265	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,124285	0x34	Stop	CW	Off	On	Off	Off	0,099950
1237,224235	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,224255	0x34	Stop	CW	Off	On	Off	Off	0,100080
1237,324335	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,324355	0x34	Stop	CW	Off	On	Off	Off	0,099955
1237,424310	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,424330	0x34	Stop	CW	Off	On	Off	Off	0,100080
1237,524410	0x36	Stop	CW	Off	On	On	Off	0,000020
