Time [s],Event
0,0727845,Setup write to 0x50. +ACK
0,0729025,Wrote 0x00 to 0x50. +ACK
0,0729748,Wrote 0x00 to 0x50. +ACK
0,0730405,Stop
0,0731550,Start
0,0731968,Setup write to 0x50. +ACK
0,0732688,Wrote 0x00 to 0x50. +ACK
0,0733408,Wrote 0x00 to 0x50. +ACK
0,0734065,Stop
0,0734590,Start
0,0735008,Setup write to 0x50. +ACK
0,0735728,Wrote 0x00 to 0x50. +ACK
0,0736448,Wrote 0x10 to 0x50. +ACK
0,0737105,Stop
0,0747863,Start
0,0748280,Setup write to 0x50. +ACK
0,0749460,Wrote 0x01 to 0x50. +ACK
0,0750183,Wrote 0x02 to 0x50. +ACK
0,0750903,Wrote 0x06 to 0x50. +ACK
0,0751623,Wrote 0x00 to 0x50. +ACK
0,0752280,Stop
0,0773620,Start
0,0774038,Setup write to 0x50. +ACK
0,0774758,Wrote 0x01 to 0x50. +ACK
0,0775455,Start
0,0775828,Setup read from 0x50. +ACK
0,0776548,Read 0x00 from 0x50. +ACK
0,0777788,Read 0x00 from 0x50. +No ACK
0,0779505,Stop
0,0780730,Start
0,0781150,Setup write to 0x50. +ACK
0,0781870,Wrote 0x00 to 0x50. +ACK
0,0782590,Wrote 0x00 to 0x50. +ACK
0,0783248,Stop
0,0784393,Start
0,0784810,Setup write to 0x50. +ACK
0,0785530,Wrote 0x00 to 0x50. +ACK
0,0786250,Wrote 0x00 to 0x50. +ACK
0,0786908,Stop
0,0787433,Start
0,0787850,Setup write to 0x50. +ACK
0,0789030,Wrote 0x00 to 0x50. +ACK
0,0789750,Wrote 0x10 to 0x50. +ACK
0,0790408,Stop
0,0801165,Start
0,0801585,Setup write to 0x50. +ACK
0,0802305,Wrote 0x01 to 0x50. +ACK
0,0803025,Wrote 0x02 to 0x50. +ACK
0,0803745,Wrote 0x06 to 0x50. +ACK
0,0804465,Wrote 0x00 to 0x50. +ACK
0,0805123,Stop
0,0825843,Start
0,0826260,Setup write to 0x50. +ACK
0,0826980,Wrote 0x01 to 0x50. +ACK
0,0827678,Start
0,0828050,Setup read from 0x50. +ACK
0,0829230,Read 0x00 from 0x50. +ACK
0,0830470,Read 0x00 from 0x50. +No ACK
0,0831738,Stop
0,0832963,Start
0,0833383,Setup write to 0x50. +ACK
0,0834103,Wrote 0x00 to 0x50. +ACK
0,0834823,Wrote 0x00 to 0x50. +ACK
0,0835480,Stop
0,0836625,Start
0,0837043,Setup write to 0x50. +ACK
0,0837763,Wrote 0x00 to 0x50. +ACK
0,0838483,Wrote 0x00 to 0x50. +ACK
0,0839360,Stop
0,0839885,Start
0,0840303,Setup write to 0x50. +ACK
0,0841023,Wrote 0x00 to 0x50. +ACK
0,0841743,Wrote 0x10 to 0x50. +ACK
0,0842403,Stop
0,0853158,Start
0,0853578,Setup write to 0x50. +ACK
0,0854298,Wrote 0x01 to 0x50. +ACK
0,0855018,Wrote 0x02 to 0x50. +ACK
0,0855738,Wrote 0x06 to 0x50. +ACK
0,0856458,Wrote 0x00 to 0x50. +ACK
0,0857115,Stop
0,0877835,Start
0,0878253,Setup write to 0x50. +ACK
0,0879433,Wrote 0x01 to 0x50. +ACK
0,0880130,Start
0,0880503,Setup read from 0x50. +ACK
0,0881223,Read 0x00 from 0x50. +ACK
0,0882463,Read 0x00 from 0x50. +No ACK
0,0883733,Stop
0,0884958,Start
0,0885375,Setup write to 0x50. +ACK
0,0886095,Wrote 0x00 to 0x50. +ACK
